soft constraints score
1.0
id,Course,Professors,Class,Room, Day,Start,End
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-04-26
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-04-30
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-04-29
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-04-30
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-02
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-01
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-29
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-01
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-05-02
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-04-29
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-04-30
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-03
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-05-07
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-05-06
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-05-07
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-09
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-08
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-06
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-08
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-05-09
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-05-06
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-07
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-10
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-05-14
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-05-13
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-05-14
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-16
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-15
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-13
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-15
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-05-16
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-05-13
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-14
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-17
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-05-21
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-05-20
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-05-21
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-23
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-22
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-20
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-22
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-05-23
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-05-20
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-21
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-24
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-05-28
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-05-27
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-05-28
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-30
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-29
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-27
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-29
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-05-30
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-05-27
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-28
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-31
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-06-11
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-06-10
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-06-11
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-06-13
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-06-12
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-10
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-06-12
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-06-13
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-06-10
